x,p
-0.032013,58.08
-0.024028048148148,57.48
-0.016043096296296,54.97
-0.008014852550527,48.4
9.67E-05,34.54
0.007351622438532,32.82
0.014992678322126,29.89
0.022270451754289,28.01
0.0297068256616,25.87
0.037038770628217,23.51
0.044420816435946,21.89
0.0519052558377,20.59
0.059284,19.5
