,x,A,P,rho,u,y,PPo,TTo,T
428,7.765257988124836,1.0390694748941849,2762684.728612415,76.85956747255602,240.4717512610437,0.02921883497340272,27.62684728612415,0.8410029597258415,264.63840133693054
429,7.9043831687498365,1.0398106897822348,2756508.869259741,76.69791946287363,240.80678958678493,0.02961154999006055,27.56508869259741,0.8407504304551552,264.5589379513237
430,8.043508349374838,1.0405537846872148,2750368.9314879645,76.53720059776191,241.14012527814955,0.03000153903023861,27.503689314879644,0.840498958948594,264.4798074123541
431,8.182633529999839,1.041298687164251,2744264.8072859775,76.37740826806511,241.47176181396785,0.030388819342088036,27.442648072859775,0.8402485464064485,264.4010100977172
432,8.32175871062484,1.04204532605271,2738196.3827635986,76.21853970700066,241.8017029755764,0.03077340837343623,27.381963827635985,0.8399991937616178,264.32254630096827
433,8.460883891249841,1.0427936314669297,2732163.538420046,76.06059199722111,242.12995283411664,0.031155323755333253,27.321635384200462,0.8397509016885323,264.24441623433046
434,8.600009071874842,1.0435435347869448,2726166.14939913,75.90356207752913,242.45651573847024,0.03153458328659642,27.2616614939913,0.8395036706116658,264.1666200313729
435,8.739134252499843,1.044294968649216,2720204.085732934,75.74744674929386,242.7813963037752,0.031911204919209624,27.20204085732934,0.8392575007136739,264.08915774957177
436,8.878259433124844,1.0450478669373586,2714277.2125736647,75.59224268255723,243.10459940049904,0.03228520674458857,27.14277212573665,0.8390123919431636,264.0120293727553
437,9.017384613749845,1.04580216477287,2708385.390415295,75.43794642187704,243.42613014403312,0.032656606980599356,27.08385390415295,0.8387683440221321,263.9352348134443
438,9.156509794374847,1.0465577985058578,2702528.4753048266,75.28455439189602,243.7459938847695,0.03302542395933661,27.025284753048265,0.8385253564530843,263.85877391509206
439,9.295634974999848,1.0473147057057686,2696706.319044328,75.1320629026727,244.0641961986373,0.033391676115579916,26.967063190443277,0.8382834285258599,263.78264645423235
440,9.434760155624849,1.0480728251521154,2690918.7693838426,74.98046815477346,244.38074287807797,0.033755381975897114,26.909187693838426,0.8380425593241666,263.7068521425355
441,9.57388533624985,1.048832096825206,2685165.6702061757,74.82976624415218,244.6956399234107,0.034116560148353514,26.851656702061756,0.8378027477318687,263.63139062878713
442,9.713010516874851,1.049592461896872,2679446.8617032054,74.679953166808,245.00889353460252,0.03447522931281821,26.794468617032052,0.8375639924390048,263.55626150078166
443,9.852135697499852,1.0503538627211948,2673762.1805451377,74.5310248232603,245.32051010338688,0.03483140821177977,26.737621805451376,0.8373262919475845,263.4814642871464
444,9.991260878124853,1.051116242825236,2668111.4600425577,74.38297702283413,245.63049620570652,0.03518511564166482,26.681114600425577,0.8370896445771654,263.40699845909666
445,10.130386058749854,1.051879546899765,2662494.5303015374,74.23580548776415,245.93885859450867,0.03553637044466518,26.624945303015373,0.8368540484702125,263.33286343212177
446,10.269511239374856,1.052643720789986,2656911.2183719496,74.08950585712151,246.2456041928536,0.03588519150102587,26.569112183719497,0.8366195015972412,263.2590585676039
447,10.408636419999857,1.0534087114862671,2651361.348391557,73.9440736906294,246.550740087208,0.036231597721636644,26.51361348391557,0.8363860017618481,263.18558317440073
448,10.547761600624858,1.0541744671148687,2645844.741721699,73.79950447225886,246.85427352116557,0.03657560804121285,26.45844741721699,0.8361535466054598,263.11243651034005
449,10.686886781249859,1.054940936928671,2640361.2170795365,73.65579361373487,247.1562118893037,0.0369172414116935,26.403612170795366,0.8359221336119892,263.03961778368466
450,10.82601196187486,1.0557080712979023,2634910.590664326,73.51293645788495,247.45656273132732,0.037256516796074446,26.349105906643263,0.835691760112309,262.96712615454027
451,10.965137142499861,1.0564758217008672,2629492.67627893,73.37092828186357,247.75533372643696,0.037593453162551804,26.294926762789302,0.8354624232885763,262.8949607362163
452,11.104262323124862,1.057244140714675,2624107.285446573,73.2297643002524,248.0525326879203,0.037928069478979975,26.24107285446573,0.8352341201784077,262.8231205965396
453,11.243387503749863,1.0580129820059678,2618754.2275241166,73.08943966806774,248.34816755788646,0.038260384707587636,26.187542275241167,0.8350068476789688,262.7516047591411
454,11.382512684374865,1.0587823003216479,2613433.309808359,72.94994948358631,248.64224640236148,0.03859041780012562,26.13433309808359,0.8347806025508088,262.680412204663
455,11.521637864999866,1.0595520514796066,2608144.337642074,72.81128879116226,248.93477740634637,0.038918187693065875,26.08144337642074,0.8345553814217443,262.6095418719803
456,11.660763045624867,1.060322192359453,2602887.1145135737,72.67345258387671,249.2257688692102,0.03924371330320531,26.02887114513574,0.8343311807905042,262.53899265934797
457,11.799888226249868,1.0610926808932406,2597661.4421534752,72.53643580611161,249.5152292001891,0.03956701352344272,25.97661442153475,0.834107997030301,262.46876342552486
458,11.939013406874869,1.0618634760561967,2592467.1206279504,72.40023335603159,249.803166914059,0.03988810721881175,25.924671206279505,0.833885826392308,262.39885299086757
459,12.07813858749987,1.0626345378574498,2587303.948428769,72.26484008798217,250.0895906269413,0.04020701322269715,25.87303948428769,0.8336646650090275,262.3292601383907
460,12.217263768124871,1.063405827330758,2582171.722559903,72.13025081479658,250.37450905227246,0.04052375033326583,25.821717225599027,0.8334445088975578,262.2599836147945
461,12.356388948749872,1.064177306525238,2577070.238621478,71.99646031003299,250.65793099688878,0.04083833731008857,25.77070238621478,0.83322535396279,262.19102213147113
462,12.495514129374873,1.0649489384960915,2571999.2908905055,71.86346331012719,250.93986535725318,0.041150792870933484,25.719992908905056,0.833007196000496,262.1223743654761
463,12.634639309999875,1.0657206872953344,2566958.6723991423,71.73125451648016,251.22032111579784,0.041461135688729334,25.669586723991422,0.8327900307003513,262.05403896047955
464,12.773764490624876,1.0664925179625255,2561948.1750100623,71.5998285974682,251.49930733738938,0.04176938438870215,25.619481750100622,0.8325738536488702,261.98601452769
465,12.912889671249877,1.0672643965154933,2556967.5894895894,71.46918019039649,251.77683316589653,0.042075557545641185,25.569675894895894,0.8323586603322709,261.9182996467557
466,13.052014851874878,1.0680362899410651,2552016.7055782517,71.33930390338197,252.05290782086672,0.04237967368132323,25.52016705578252,0.8321444461392715,261.8508928666446
467,13.191140032499879,1.068808166185795,2547095.312059018,71.21019431717642,252.32754059430962,0.04268175126207974,25.470953120590178,0.8319312063638107,261.7837927065003
468,13.33026521312488,1.0695799941466917,2542203.1968235625,71.0818459869378,252.60074084756417,0.04298180869646562,25.422031968235625,0.8317189362077139,261.71699765648134
469,13.469390393749881,1.0703517436619467,2537340.1469360134,70.95425344393375,252.87251800827136,0.043279864333083395,25.373401469360132,0.8315076307832822,261.6505061785754
470,13.608515574374882,1.0711233855016633,2532505.9486951833,70.82741119720617,253.14288156742265,0.04357593645849145,25.325059486951833,0.8312972851158404,261.5843167074015
471,13.747640754999884,1.0718948913585833,2527700.387694478,70.70131373517398,253.4118410764932,0.04387004329524424,25.27700387694478,0.8310878941462152,261.51842765098957
472,13.886765935624885,1.0726662338388164,2522923.2488802234,70.5759555271936,253.67940614465604,0.04416220300001861,25.229232488802232,0.8308794527331677,261.45283739154587
