,x,A,P,rho,u
0,-120.0,1.443482752,68511.12056558506,0.40040009741869065,216.45863702872677
1,-119.0,1.435873258166843,68384.99784297548,0.3998411044739458,217.90999324033186
2,-118.0,1.428336384091072,68257.43951359909,0.3992755026348367,219.37014821715368
3,-117.0,1.420871852448307,68128.43460523157,0.3987032342662598,220.83912782972277
4,-116.0,1.413479391592448,67997.97225925309,0.39812424201292645,222.3169569162141
5,-115.0,1.406158735421875,67866.0417379908,0.39753846882870936,223.8036592576091
6,-114.0,1.398909623247808,67732.6324321519,0.3969458580064336,225.29925755326173
7,-113.0,1.391731799664827,67597.73386837993,0.3963463532082705,226.80377339649306
8,-112.0,1.384625014423552,67461.33571692323,0.3957398984966879,228.31722725033694
9,-111.0,1.377589022305483,67323.42779942421,0.3951264383660016,229.83963842329152
10,-110.0,1.370623583,67184.00009681126,0.3945059177744501,231.37102504527965
11,-109.0,1.363728460983523,67043.04275730239,0.3938782821768452,232.91140404367474
12,-108.0,1.356903425400832,66900.54610448796,0.3932434775576517,234.46079111974686
13,-107.0,1.350148249948547,66756.50064557069,0.39260145046485634,236.0192007246147
14,-106.0,1.343462712760768,66610.89707960885,0.3919521480439417,237.58664603638158
15,-105.0,1.336846596296875,66463.72630591838,0.39129551807266955,239.16313893669826
16,-104.0,1.330299687231488,66314.97943252281,0.3906315089961815,240.74868998795384
17,-103.0,1.3238217763465872,66164.64778468777,0.389960069962589,242.3433084106236
18,-102.0,1.3174126584257921,66012.72291352355,0.38928115085898835,243.94700206093438
19,-101.0,1.311072132150803,65859.19660464964,0.38859470234787064,245.55977740885027
20,-100.0,1.3048,65704.06088691861,0.3879006759039415,247.18163951639008
21,-99.0,1.298596068149203,65547.30804118686,0.3871990238512768,248.81259201630394
22,-98.0,1.292460146374592,65388.93060913319,0.38648969940084765,250.4526370911116
23,-97.0,1.286392047957787,65228.921402091786,0.3857726566882619,252.1017754527517
24,-96.0,1.280391589593088,65067.273509963714,0.3850478508120165,253.76000632213572
25,-95.0,1.2744585912968749,64903.980310079816,0.384315237871704,255.42732740987415
26,-94.0,1.2685928763191678,64739.03547612425,0.38357477500666326,257.103734896956
27,-93.0,1.262794271057347,64572.432987042186,0.38282642043474935,258.78922341614424
28,-92.0,1.257062604972032,64404.16713594274,0.3820701334912663,260.48378603387266
29,-91.0,1.251397710505123,64234.23253898796,0.381305874668044,262.1874142326974
30,-90.0,1.245799423,64062.6241442576,0.38053360565260663,263.90009789430616
31,-89.0,1.240267580623883,63889.337240563334,0.3797532893673365,265.62182528332426
32,-88.0,1.234802024292352,63714.36746626403,0.378964890008857,267.3525830312635
33,-87.0,1.229402597596027,63537.71081796242,0.37816837308711915,269.09235612180254
34,-86.0,1.224069146729408,63359.36365918555,0.37736370546464976,270.8411278762412
35,-85.0,1.218801520421875,63179.32272896993,0.3765508553956181,272.5988799398698
36,-84.0,1.213599569870848,62997.58515036549,0.3757297925647899,274.3655922690234
37,-83.0,1.208463148677107,62814.14843883763,0.3749004881262817,276.14124311893806
38,-82.0,1.203392112782272,62629.01051056637,0.3740629147421195,277.92580903232465
39,-81.0,1.198386320408443,62442.16969062559,0.3732170466205368,279.7192648287804
40,-80.0,1.193445632,62253.62472100593,0.3723628595538414,281.52158359523753
41,-79.0,1.188569910167563,62063.37476856424,0.3715003309562484,283.33273667662525
42,-78.0,1.1837590196341121,61871.41943269603,0.3706294399007276,285.1526936684181
43,-77.0,1.179012827183267,61677.75875305417,0.3697501671564884,286.98142240883305
44,-76.0,1.174331201609728,61482.393216783064,0.3688624952243433,288.8188889733542
45,-75.0,1.169714013671875,61285.32376584018,0.3679664083730161,290.6650576690354
46,-74.0,1.165161136046528,61086.55180398461,0.36706189267414857,292.51989103029894
47,-73.0,1.160672443285867,60886.07920355806,0.3661489360367175,294.3833498157999
48,-72.0,1.156247811776512,60683.908312095286,0.36522752824101257,296.2553930057723
49,-71.0,1.151887119700763,60480.04195862095,0.3642976609715286,298.13597780111877
50,-70.0,1.147590247,60274.48345975533,0.36335932784933195,300.02505962298505
51,-69.0,1.143357075340243,60067.23662553331,0.36241252446347255,301.9225921136418
52,-68.0,1.139187488079872,59858.30576495963,0.3614572484015512,303.82852713836263
53,-67.0,1.135081370239507,59647.69569127316,0.3604934992793107,305.7428147884318
54,-66.0,1.131038608474048,59435.41172692628,0.3595212787692993,307.66540338518416
55,-65.0,1.127059091046875,59221.45970822672,0.3585405906283474,309.5962394854304
56,-64.0,1.123142707806208,59005.84598973012,0.3575514407242787,311.53526788738986
57,-63.0,1.119289350163627,58788.57744821576,0.35655383706108157,313.4824316385776
58,-62.0,1.115498911074752,58569.661486389385,0.3555477898032024,315.43767204423415
59,-61.0,1.1117712850220831,58349.10603620915,0.35453331129848836,317.40092867717414
60,-60.0,1.108106368,58126.91956186555,0.35351041609990996,319.37213938869047
61,-59.0,1.104504057501923,57903.11106236018,0.352479120985822,321.3512403209201
62,-58.0,1.100964252509632,57677.69007378472,0.3514394449792177,323.3381659197027
63,-57.0,1.097486853484747,57450.66667111105,0.35039140936510704,325.3328489495379
64,-56.0,1.094071762362368,57222.05146966287,0.34933503770680174,327.33522050904406
65,-55.0,1.090718882546875,56991.85562615858,0.34827035586059113,329.3452100478535
66,-54.0,1.087428118909888,56760.09083934285,0.34719739198889166,331.3627453846924
67,-53.0,1.0841993777903869,56526.76935020957,0.3461161765718684,333.387752726591
68,-52.0,1.081032566996992,56291.90394179699,0.3450267424174409,335.4201566893075
69,-51.0,1.077927595812403,56055.50793855083,0.34392912466964765,337.45988031895473
70,-50.0,1.074884375,55817.59520526763,0.3428233608154113,339.5068451146854
71,-49.0,1.071902816812603,55578.18014558506,0.3417094906895522,341.56097105265343
72,-48.0,1.068982835003392,55337.27770003202,0.3405875564780935,343.62217661110657
73,-47.0,1.066124344838987,55094.90334363875,0.33945760271985453,345.6903787965726
74,-46.0,1.063327263114688,54851.07308310131,0.33831967630629184,347.76549317114535
75,-45.0,1.060591508171875,54605.803453479806,0.33717382647948596,349.84743388100924
76,-44.0,1.057916999917568,54359.11151445841,0.336020104828388,351.9361136859496
77,-43.0,1.055303659846147,54111.01484614988,0.3348585652832363,354.0314439899533
78,-42.0,1.0527514110632321,53861.53154444123,0.3336892641081152,356.13333487292925
79,-41.0,1.050260178311723,53610.68021589281,0.3325122598916971,358.24169512341274
80,-40.0,1.047829888,53358.47997219114,0.3313276135361539,360.356432272247
81,-39.0,1.045460468232283,53104.9504241158,0.3301353882440474,362.47745262758093
82,-38.0,1.043151848841152,52850.11167514675,0.3289356495037545,364.60466131008906
83,-37.0,1.040903961422227,52593.98431451824,0.3277284650725255,366.7379622900837
84,-36.0,1.038716739371008,52336.5894099211,0.3265139049580902,368.8772584248129
85,-35.0,1.036590117921875,52077.94849970183,0.32529204139808493,371.02245149721375
86,-34.0,1.034524034189248,51818.083584734646,0.32406294883811565,373.1734422547046
87,-33.0,1.032518427210907,51557.017119746364,0.32282670390739926,375.3301304498376
88,-32.0,1.030573237993472,51294.77200431414,0.32158338539299514,377.49241488102336
89,-31.0,1.028688409560043,51031.3715734349,0.32033307421214396,379.6601934341996
90,-30.0,1.026863887,50766.8395876792,0.3190758533827384,381.8333631253728
91,-29.0,1.025099617520963,50501.20022297488,0.31781180799212866,384.0118201436871
92,-28.0,1.023395550502912,50234.47806000508,0.31654102516416804,386.1954598952154
93,-27.0,1.021751637554467,49966.69807321638,0.31526359402445286,388.3841770475269
94,-26.0,1.020167832571328,49697.88561951057,0.31397960566408784,390.57786557451107
95,-25.0,1.018644091796875,49428.06642652879,0.31268915310151996,392.77641880223354
96,-24.0,1.017180373884928,49157.266580640535,0.31139233124295174,394.9797294549883
97,-23.0,1.015776639964667,48885.51251457635,0.31008923684102024,397.1876897020847
