,x,A,P,rho,u,y,PPo,TTo,T
0,0.0,1.0,6383373.0,29.658331167281702,523.2194524799937,0.0,0.6339,0.9011081925828974,575.5197804388449
1,0.0625,1.0000021425912502,6372248.620268012,29.617687552595953,523.9363309169046,0.0,0.6327952949620668,0.9007527340687321,575.2927561950178
2,0.125,1.0000534970441615,6327766.667429617,29.4550117251824,526.8029029056913,0.0,0.6283780205987702,0.8993269367453534,574.3821279605222
3,0.1875,1.0001530973947554,6289279.780543359,29.31405497789243,529.2833227272607,0.0,0.6245560854561429,0.8980874988836098,573.5905237869839
4,0.25,1.0002999901939036,6251630.72570054,29.175980673502128,531.7100450518436,0.0,0.6208173511122681,0.8968697825331143,572.8127927082494
5,0.3125,1.000493234594319,6214414.681755192,29.039312096755378,534.1092651533224,0.0,0.6171216168575165,0.8956609111991721,572.0407107646872
6,0.375,1.0007319024293977,6177525.646577985,28.903664129913736,536.4879173990272,0.0,0.613458356164646,0.8944575526608387,571.2721497334244
7,0.4375,1.0010150782840848,6140924.510677846,28.768896055894974,538.8486210927533,0.0,0.6098236852708884,0.89325851273901,570.5063469161508
8,0.5,1.0013418595579535,6104594.185328379,28.63494764391581,541.1925721610658,0.0,0.60621590718256,0.8920633022950544,569.7429899098053
9,0.5625,1.0017113565206712,6068526.5312815,28.501791398039284,543.520385552168,0.0,0.602634213632721,0.8908717197213957,568.9819499516609
10,0.625,1.0021226923600322,6032717.560980469,28.369415027658075,545.8324044789255,0.0,0.5990782086375838,0.8896836976314241,568.2231840032379
11,0.6875,1.0025750032227336,5997165.3864925215,28.23781394775884,548.1288327267259,0.0,0.5955477047162385,0.8884992372297816,567.4666928339169
12,0.75,1.0030674382480622,5961869.239967628,28.106987697043213,550.4097978497554,0.0,0.5920426256174407,0.88731837693289,566.7125009794981
13,0.8125,1.0035991595946723,5926828.965791676,27.976938079161155,552.6753839740329,0.0,0.5885629558879519,0.8861411760535025,565.960646321851
14,0.875,1.0041693424606142,5892044.706975144,27.847667966252395,554.9256533038298,0.0,0.5851087097294085,0.88496770525093,565.211173989664
15,0.9375,1.0047771750967858,5857516.875170098,27.719181372644144,557.1606433319621,0.0,0.5816799280208638,0.8837980432653976,564.4641342727441
16,1.0,1.0054218588139718,5823245.849475923,27.591482074686123,559.3803934503347,0.0,0.5782766484087312,0.8826322704771459,563.7195785083435
17,1.0625,1.0061026079836333,5789232.05189604,27.46457406514556,561.58493549048,0.0,0.574898912800004,0.8814704690750758,562.9775591888693
18,1.125,1.0068186500326075,5755475.873342984,27.338461234738013,563.7742997387162,0.0,0.571546760014199,0.8803127211338309,562.238128733755
19,1.1875,1.0075692254318784,5721977.6483369125,27.213147276594427,565.9485166582459,0.0,0.5682202232707957,0.8791591077180744,561.5013389173797
20,1.25,1.0083535876795733,5688737.638611515,27.08863562336814,568.1076180387224,0.0,0.564919328561223,0.8780097082732946,560.7672404799878
21,1.3125,1.0091710032783432,5655756.022593486,26.96492940590238,570.2516377685474,0.0,0.5616440936041198,0.8768646002063307,560.0358828597792
22,1.375,1.0100207517072801,5623032.888843563,26.842031426473895,572.3806123527468,0.0,0.5583945271939984,0.8757238585946432,559.3073140072266
23,1.4375,1.0109021253885193,5590568.232222303,26.719944142096708,574.4945812559953,0.0,0.5551706288204868,0.8745875559848602,558.5815802564105
24,1.5,1.0118144296486762,5558361.951967822,26.5986696549172,576.5935871228576,0.0,0.5519723884774401,0.8734557622547084,557.8587262368371
25,1.5625,1.0127569826752731,5526413.851130792,26.478209707674367,578.6776759108133,0.0,0.5487997866068314,0.8723285445206453,557.1387948144458
26,1.625,1.013729115468289,5494723.636989515,26.35856568284782,580.7468969600964,0.0,0.5456527941399717,0.8712059670791814,556.4218270541315
27,1.6875,1.014730171786987,5463290.922176367,26.239738604511956,582.8013030175632,0.0,0.5425313726093711,0.8700880913733255,555.7078621983155
28,1.75,1.015759508092151,5432115.226325155,26.12172914219923,584.840950226561,0.0,0.5394354743123292,0.8689749759781022,554.9969376576943
29,1.8125,1.0168164934838857,5401195.978103381,26.004537616276,586.865898091481,0.0,0.5363650425127489,0.8678666766007908,554.289089011393
30,1.875,1.017900509635099,5370532.517525515,25.88816400445037,588.8762094234817,0.0,0.5333200116708555,0.8667632460925806,553.5843500144093
31,1.9375,1.0190109507208212,5340124.098473605,25.77260794914149,590.8719502719729,0.0,0.5303003076935059,0.8656647344692855,552.8827526108432
32,2.0,1.020147223343483,5309969.891366592,25.6578687654947,592.853189845515,0.0,0.5273058481992643,0.8645711889392395,552.1843269517134
33,2.0625,1.021308746454292,5280068.985935316,25.543945449885285,594.8200004247808,0.0,0.5243365427939738,0.8634826539369722,551.4891014164654
34,2.125,1.022494951270833,5250420.394069553,25.430836688784467,596.7724572695951,0.0,0.5213922933534809,0.8623991711615943,550.797102637487
35,2.1875,1.0237052811910254,5221023.052710169,25.318540867889215,598.710638521715,0.0,0.518472994310841,0.8613207796189909,550.108355527057
